#|customerID|gender|SeniorCitizen|Partner|Dependents|tenure|PhoneService|MultipleLines|InternetService|OnlineSecurity|OnlineBackup|DeviceProtection|TechSupport|StreamingTV|StreamingMovies|Contract|PaperlessBilling|PaymentMethod|MonthlyCharges|TotalCharges|Churn
730|6439-GTPCA|Female|0|No|No|45|Yes|Yes|Fiber optic|No|No|Yes|Yes|No|No|Month-to-month|Yes|Electronic check|87.25|3941.7|Yes
6566|3795-CAWEX|Male|0|Yes|Yes|70|Yes|Yes|Fiber optic|Yes|Yes|Yes|Yes|Yes|Yes|Two year|Yes|Credit card (automatic)|116.55|8152.3|No
4447|7821-DPRQE|Male|0|Yes|No|68|Yes|Yes|Fiber optic|Yes|Yes|No|Yes|Yes|Yes|Month-to-month|Yes|Electronic check|107.7|7320.9|No
325|4983-CLMLV|Female|0|Yes|No|52|Yes|Yes|Fiber optic|No|Yes|No|Yes|Yes|Yes|Month-to-month|Yes|Credit card (automatic)|102.7|5138.1|No
6728|2380-DAMQP|Female|0|Yes|No|72|Yes|Yes|Fiber optic|Yes|Yes|Yes|Yes|Yes|Yes|Two year|No|Electronic check|115.15|8349.7|No
290|7534-BFESC|Male|1|No|No|24|Yes|Yes|Fiber optic|No|No|No|No|No|No|Month-to-month|Yes|Electronic check|76.1|1712.7|Yes
1886|6695-FRVEC|Male|0|Yes|Yes|67|Yes|No|DSL|Yes|No|Yes|Yes|No|No|Two year|Yes|Bank transfer (automatic)|60.4|3953.7|No
5180|0361-HJRDX|Female|0|No|No|68|No|No|DSL|Yes|Yes|Yes|Yes|Yes|Yes|Two year|No|Credit card (automatic)|64.35|4539.6|No
1683|0354-VXMJC|Male|0|Yes|Yes|23|Yes|No|No|No internet service|No internet service|No internet service|No internet service|No internet service|No internet service|Two year|No|Credit card (automatic)|19.6|426.65|No
4149|6559-ILWKJ|Male|0|Yes|No|71|No|No|DSL|No|Yes|No|No|Yes|Yes|Two year|No|Electronic check|49.35|3515.25|Yes
4641|9895-VFOXH|Female|0|No|No|1|No|No|DSL|No|No|No|No|No|No|Month-to-month|No|Mailed check|24.4|24.4|No
1945|8229-BUJHX|Female|0|Yes|Yes|71|Yes|No|No|No internet service|No internet service|No internet service|No internet service|No internet service|No internet service|Two year|No|Bank transfer (automatic)|20.5|1500.95|No
6255|4476-OSWTN|Male|1|Yes|No|69|Yes|Yes|Fiber optic|Yes|No|Yes|Yes|Yes|Yes|One year|Yes|Mailed check|110.55|7610.1|No
5105|2995-UPRYS|Female|1|Yes|No|40|Yes|No|Fiber optic|No|Yes|No|Yes|Yes|Yes|One year|Yes|Credit card (automatic)|99.2|4062.2|Yes
4335|9208-OLGAQ|Female|1|No|No|18|Yes|No|Fiber optic|No|No|Yes|No|No|Yes|Month-to-month|Yes|Electronic check|84.95|1443.65|No
864|4124-MMETB|Male|0|No|No|22|Yes|Yes|Fiber optic|No|No|No|No|Yes|Yes|Month-to-month|Yes|Credit card (automatic)|94.65|2104.55|Yes
